rank,package_name,version,manifest_declared_license,physical_license_type,physical_license_files,has_third_party_notices,in_code_headers,conflicts_count,verdict,verdict_reason,physical_license_snippet
2457,sylius/sylius,v2.2.8,Unspecified,MPL_COPYLEFT,"LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, terms_and_conditions.html.twig, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO, LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO",YES,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: paragonie/halite (MPL-2.0), paragonie/hidden-string (MPL-2.0)","--- Sylius-Sylius-3c39f6a/LICENSE --- Copyright (c) 2011-present Sylius Sp. z o.o. Permission is hereby granted, free of charge, to any person obtaining a copy"
2475,nfephp-org/sped-da,v1.1.6,"LGPL-3.0-or-later+, GPL-3.0-or-later, MIT",LGPL_COPYLEFT,LICENSE,NO,IN_CODE_LGPL; IN_CODE_GPL,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: tecnickcom/tc-lib-barcode (LGPL-3.0-or-later), tecnickcom/tc-lib-color (LGPL-3.0-or-later)","--- nfephp-org-sped-da-93ae550/LICENSE --- GNU LESSER GENERAL PUBLIC LICENSE Version 3, 29 June 2007"
2492,consoletvs/charts,6.9.0,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: balping/json-raw-encoder (GPL-3.0-only),--- ConsoleTVs-Charts-7f8a397/LICENSE --- MIT License Copyright (c) Èrik Campobadal Forés <soc@erik.cat>
2523,mike42/escpos-php,v5.0,MIT,MPL_COPYLEFT,LICENSE.md,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: mike42/gfx-php (LGPL-2.1-or-later),"--- mike42-escpos-php-985d57c/LICENSE.md --- MIT License Copyright (c) 2014-2026 Michael Billington, incorporating modifications by others."
2670,cloudconvert/cloudconvert-php,3.4.4,Unspecified,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (netresearch/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,--- cloudconvert-cloudconvert-php-0ff87ef/LICENSE --- MIT License Copyright (c) 2017 Josias Montag <josias@montag.info>
2684,yiisoft/yii2-imagine,2.3.1,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-imagine-7ec4332/LICENSE.md --- Copyright © 2008-2013 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
2723,xemlock/htmlpurifier-html5,v0.1.12,MIT,MPL_COPYLEFT,LICENSE,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- xemlock-htmlpurifier-html5-535349c/LICENSE --- The MIT License (MIT) Copyright (c) 2015 Xemlock
2762,nystudio107/craft-code-editor,1.0.30,MIT,MPL_COPYLEFT,LICENSE.md,NO,,2,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (enshrined/svg-sanitize (GPL-2.0-or-later)) without copyleft distribution licensing.,--- nystudio107-craft-code-editor-98fc454/LICENSE.md --- The MIT License (MIT) Copyright (c) nystudio107
2819,apache-solr-for-typo3/solr,13.1.4,Unspecified,GPL_COPYLEFT,LICENSE.txt,YES,IN_CODE_GPL,13,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,"Permissive package imports viral copyleft dependency (typo3/cms-backend (GPL-2.0-or-later), typo3/cms-core (GPL-2.0-or-later), enshrined/svg-sanitize (GPL-2.0-or-later), typo3/cms-cli (GPL-2.0-or-later), typo3/cms-composer-installers (GPL-2.0-or-later), typo3fluid/fluid (LGPL-3.0-or-later), typo3/cms-extbase (GPL-2.0-or-later), typo3/cms-fluid (GPL-2.0-or-later), typo3/cms-frontend (GPL-2.0-or-later), typo3/cms-install (GPL-2.0-or-later), typo3/cms-reports (GPL-2.0-or-later), typo3/cms-scheduler (GPL-2.0-or-later), typo3/cms-tstemplate (GPL-2.0-or-later)) without copyleft distribution licensing.","--- TYPO3-Solr-ext-solr-722363e/LICENSE.txt --- GNU GENERAL PUBLIC LICENSE Version 3, 29 June 2007"
2822,bschmitt/laravel-amqp,v3.4.1,MIT,MPL_COPYLEFT,LICENSE,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (php-amqplib/php-amqplib (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- bschmitt-laravel-amqp-1b8a552/LICENSE --- The MIT License (MIT) Copyright (c) 2015 Björn Schmitt
2851,lesstif/jira-cloud-restapi,1.11.1,Apache-2.0,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (netresearch/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,"--- lesstif-php-JiraCloud-RESTAPI-237c3e2/LICENSE --- Copyright (c) 2020 KwangSeob Jeong(lesstif@gmail.com) Licensed under the Apache License, Version 2.0 (the ""License"");"
2965,yiisoft/yii2-bootstrap5,2.0.51,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-bootstrap5-23675f6/LICENSE.md --- Copyright © 2008 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
2970,yiisoft/yii2-bootstrap4,2.0.12,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-bootstrap4-49f9b70/LICENSE.md --- Copyright © 2008 by Yii Software LLC (https://www.yiisoft.com) All rights reserved.
3035,verbb/base,3.0.14,MIT,MPL_COPYLEFT,LICENSE.md,NO,,2,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (enshrined/svg-sanitize (GPL-2.0-or-later)) without copyleft distribution licensing.,--- verbb-verbb-base-c847f89/LICENSE.md --- Copyright © Verbb Permission is hereby granted to any person obtaining a copy of this software
3123,elibyy/tcpdf-laravel,13.0.1,MIT,MPL_COPYLEFT,LICENSE,NO,,14,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: tecnickcom/tcpdf (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf (LGPL-3.0-or-later), tecnickcom/tc-lib-barcode (LGPL-3.0-or-later), tecnickcom/tc-lib-color (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-image (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-font (LGPL-3.0-or-later), tecnickcom/tc-lib-file (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-encrypt (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-sign (LGPL-3.0-or-later), tecnickcom/tc-lib-unicode-data (LGPL-3.0-or-later), tecnickcom/tc-lib-unicode (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-page (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-graph (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-parser (LGPL-3.0-or-later)",--- elibyy-tcpdf-laravel-2a30d59/LICENSE --- The MIT License (MIT) Copyright (c) [year] [fullname]
3182,psalm/plugin-mockery,1.2.1,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (netresearch/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,--- psalm-psalm-plugin-mockery-684e5b5/LICENSE --- MIT License Copyright (c) 2018 Psalm
3211,rmrevin/yii2-fontawesome,3.7.0,MIT,MPL_COPYLEFT,LICENSE,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- rmrevin-yii2-fontawesome-4a1c6b6/LICENSE --- The MIT License (MIT) Copyright (c) 2014 Revin Roman Borisovich
3218,creocoder/yii2-nested-sets,0.9.0,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- creocoder-yii2-nested-sets-cb8635a/LICENSE.md --- The nested sets behavior for the Yii framework is free software. It is released under the terms of the following BSD License.
3254,stellarwp/superglobals,2.0.0,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: stellarwp/arrays (GPL-2.0),--- stellarwp-superglobals-188f446/LICENSE --- MIT License Copyright (c) 2023 StellarWP
3306,alibabacloud/client,1.5.32,Apache-2.0,MPL_COPYLEFT,"LICENSE.md, NOTICE.md",NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: clagiordano/weblibs-configmanager (LGPL-3.0-or-later),"--- aliyun-openapi-sdk-php-client-5bc6f6d/LICENSE.md --- Copyright (c) 2009-present, Alibaba Cloud All rights reserved. Licensed under the Apache License, Version 2.0 (the ""License"");"
3318,nucleos/dompdf-bundle,4.5.0,MIT,MPL_COPYLEFT,LICENSE.md,NO,,3,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: dompdf/php-svg-lib (LGPL-3.0-or-later),--- nucleos-NucleosDompdfBundle-757af27/LICENSE.md --- The MIT License (MIT) Copyright (c) 2015 Christian Gripp
3323,rubix/ml,2.5.10,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: joomla/string (GPL-2.0-or-later),--- RubixML-ML-165fa68/LICENSE --- MIT License Copyright (c) 2023 The Rubix ML Community
3394,kartik-v/yii2-export,v1.4.3,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: mpdf/mpdf (GPL-2.0-only),"--- kartik-v-yii2-export-5c033d4/LICENSE.md --- Copyright (c) 2015 - 2023, Kartik Visweswaran Krajee.com"
3440,niklasravnsborg/laravel-pdf,v4.1.0,MIT,NO_PHYSICAL_LICENSE_FILE,None,NO,,1,POTENTIAL_VIOLATION_NO_LICENSE,"Package lacks any physical LICENSE file in release archive, relying purely on composer.json string.",
3492,statamic/eloquent-driver,v5.11.0,MIT,MPL_COPYLEFT,LICENSE.md,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: james-heinrich/getid3 (GPL-1.0-or-later, LGPL-3.0-only)",--- statamic-eloquent-driver-e8d209f/LICENSE.md --- MIT License Copyright (c) 2023 Statamic
3565,propa/tcpdi,v1.3.5,Apache-2.0,MPL_COPYLEFT,LICENSE,YES,IN_CODE_LGPL; IN_CODE_GPL,14,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: tecnickcom/tcpdf (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf (LGPL-3.0-or-later), tecnickcom/tc-lib-barcode (LGPL-3.0-or-later), tecnickcom/tc-lib-color (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-image (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-font (LGPL-3.0-or-later), tecnickcom/tc-lib-file (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-encrypt (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-sign (LGPL-3.0-or-later), tecnickcom/tc-lib-unicode-data (LGPL-3.0-or-later), tecnickcom/tc-lib-unicode (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-page (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-graph (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-parser (LGPL-3.0-or-later)","--- kulbakin-tcpdi-4fec305/LICENSE --- Apache License Version 2.0, January 2004"
3577,laravel/workos,v0.6.0,MIT,MPL_COPYLEFT,LICENSE.md,NO,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: paragonie/halite (MPL-2.0), paragonie/hidden-string (MPL-2.0)",--- laravel-workos-4114d6a/LICENSE.md --- The MIT License (MIT) Copyright (c) Taylor Otwell
3581,samdark/yii2-psr-log-target,1.1.4,BSD-3-Clause,MPL_COPYLEFT,LICENSE,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.","--- samdark-yii2-psr-log-target-5f14f21/LICENSE --- Copyright (c) 2017, Alexander Makarov All rights reserved."
3598,neos/fluid-adaptor,9.1.2,Unspecified,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: typo3fluid/fluid (LGPL-3.0-or-later),--- neos-fluidadaptor-942c67b/LICENSE --- The MIT License (MIT) Copyright (c) 2015 Neos project contributors
3656,mindee/mindee,v3.1.0,MIT,LGPL_COPYLEFT,".allowed-licenses, LICENSE, driver_license_v1_async.txt",NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: smalot/pdfparser (LGPL-3.0),--- mindee-mindee-api-php-12c7fd3/.allowed-licenses --- - MIT - BSD-3-Clause
3663,yiisoft/yii2-shell,2.0.6,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-shell-c0aef88/LICENSE.md --- Copyright © 2008 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
3681,plank/laravel-mediable,7.0.0,MIT,MPL_COPYLEFT,LICENSE.md,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (enshrined/svg-sanitize (GPL-2.0-or-later)) without copyleft distribution licensing.,--- plank-laravel-mediable-5108415/LICENSE.md --- # The MIT License (MIT) Copyright (c) 2016 Plank Multimedia Inc.
3692,theodo-group/llphant,1.0.1,MIT,MPL_COPYLEFT,LICENSE.md,NO,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: phpoffice/phpword (LGPL-3.0-only), smalot/pdfparser (LGPL-3.0)","--- LLPhant-LLPhant-0d90d8b/LICENSE.md --- The MIT License (MIT) Permission is hereby granted, free of charge, to any person obtaining a copy"
3704,sylius/telemetry,v1.0.1,MIT,NO_PHYSICAL_LICENSE_FILE,None,NO,,2,POTENTIAL_VIOLATION_NO_LICENSE,"Package lacks any physical LICENSE file in release archive, relying purely on composer.json string.",
3706,workos/workos-php-laravel,v8.0.1,MIT,MPL_COPYLEFT,LICENSE,NO,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: paragonie/halite (MPL-2.0), paragonie/hidden-string (MPL-2.0)",--- workos-workos-php-laravel-707550c/LICENSE --- MIT License Copyright (c) 2020 WorkOS
3777,karriere/pdf-merge,v3.4.0,Apache-2.0,MPL_COPYLEFT,LICENSE,YES,IN_CODE_LGPL; IN_CODE_GPL,14,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: tecnickcom/tcpdf (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf (LGPL-3.0-or-later), tecnickcom/tc-lib-barcode (LGPL-3.0-or-later), tecnickcom/tc-lib-color (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-image (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-font (LGPL-3.0-or-later), tecnickcom/tc-lib-file (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-encrypt (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-sign (LGPL-3.0-or-later), tecnickcom/tc-lib-unicode-data (LGPL-3.0-or-later), tecnickcom/tc-lib-unicode (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-page (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-graph (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-parser (LGPL-3.0-or-later)","--- karriereat-pdf-merge-13e6f60/LICENSE --- Copyright 2017 karriere.at GmbH Licensed under the Apache License, Version 2.0 (the ""License"");"
3790,nystudio107/craft-twig-sandbox,5.0.5,MIT,MPL_COPYLEFT,LICENSE.md,NO,,2,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (enshrined/svg-sanitize (GPL-2.0-or-later)) without copyleft distribution licensing.,--- nystudio107-craft-twig-sandbox-e4742fc/LICENSE.md --- The MIT License (MIT) Copyright (c) nystudio107
3800,codex-team/editor.js,v2.0.7,MIT,MPL_COPYLEFT,LICENSE,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- editor-js-editorjs-php-b2c6586/LICENSE --- MIT License Copyright (c) 2017 CodeX
3806,contao-components/colorbox,1.6.4.3,MIT,NO_PHYSICAL_LICENSE_FILE,None,NO,,1,POTENTIAL_VIOLATION_NO_LICENSE,"Package lacks any physical LICENSE file in release archive, relying purely on composer.json string.",
3856,craftcms/cms,5.10.14,Unspecified,MPL_COPYLEFT,"LICENSE.md, LICENSE.md, composer-LICENSE.txt, LICENSE.txt, copyright.svg, license.twig, app.js.LICENSE.txt, auth.js.LICENSE.txt, axios.js.LICENSE.txt, cp.js.LICENSE.txt, Dashboard.js.LICENSE.txt, fabric.js.LICENSE.txt, fieldsettings.js.LICENSE.txt, garnish.js.LICENSE.txt, graphiql.js.LICENSE.txt, jquery.inputmask.bundle.js.LICENSE.txt, jquery.js.LICENSE.txt, jquery.mobile-events.js.LICENSE.txt, jquery-ui.js.LICENSE.txt, MatrixInput.js.LICENSE.txt, PasskeySetup.js.LICENSE.txt, picturefill.js.LICENSE.txt, PluginManager.js.LICENSE.txt, app.js.LICENSE.txt, queue-manager.js.LICENSE.txt, routes.js.LICENSE.txt, selectize.js.LICENSE.txt, sites.js.LICENSE.txt, UpdatesUtility.js.LICENSE.txt, UpgradeUtility.js.LICENSE.txt, velocity.js.LICENSE.txt, vue.js.LICENSE.txt, xregexp-all.js.LICENSE.txt, jquery.pjax.js.LICENSE.txt",NO,,2,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (enshrined/svg-sanitize (GPL-2.0-or-later)) without copyleft distribution licensing.,"--- craftcms-cms-6804f92/LICENSE.md --- Copyright © Pixel & Tonic, Inc. Permission is hereby granted to any person obtaining a copy of this software"
3866,stevebauman/hypertext,v1.1.2,MIT,MPL_COPYLEFT,LICENSE,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- stevebauman-hypertext-3960f53/LICENSE --- MIT License Copyright (c) 2023 Steve Bauman
3868,sylius/paypal-plugin,v2.0.11,MIT,MPL_COPYLEFT,"LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO",YES,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: paragonie/halite (MPL-2.0), paragonie/hidden-string (MPL-2.0)","--- Sylius-PayPalPlugin-25e4989/LICENSE --- Copyright (c) 2020-present Sylius Sp. z o.o. Permission is hereby granted, free of charge, to any person obtaining a copy"
3910,frosh/tools,3.14.0,MIT,MPL_COPYLEFT,LICENSE.md,NO,,6,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: dompdf/php-svg-lib (LGPL-3.0-or-later), smalot/pdfparser (LGPL-3.0)",--- FriendsOfShopware-FroshTools-f4e5494/LICENSE.md --- MIT License Copyright (c) 2021 Friends of Shopware
3972,sylius/refund-plugin,v2.1.0,MIT,MPL_COPYLEFT,"LICENSE, LICENSE_OF_TRADEMARK_AND_LOGO",YES,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: paragonie/halite (MPL-2.0), paragonie/hidden-string (MPL-2.0)","--- Sylius-RefundPlugin-5161e11/LICENSE --- Copyright (c) 2018-present Sylius Sp. z o.o. Permission is hereby granted, free of charge, to any person obtaining a copy"
4106,retailcrm/api-client-php,v6.15.33,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: pnz/json-exception (GPL-3.0),--- retailcrm-api-client-php-8fd01c7/LICENSE --- The MIT License (MIT) Copyright (c) 2015-2020 RetailDriver LLC
4126,spryker/rabbit-mq,2.25.0,proprietary,MPL_COPYLEFT,LICENSE,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (php-amqplib/php-amqplib (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.","--- spryker-rabbit-mq-e44c818/LICENSE --- SPRYKER - LICENSE AGREEMENT FOR EVALUATION OF AND EARLY ACCESS TO SOFTWARE SPRYKER SYSTEMS GMBH, REGISTERED WITH THE COMMERCIAL REGISTER OF THE LOWER COURT OF"
4210,advoor/nova-editor-js,v5.0.0,MIT,MPL_COPYLEFT,"field.js.LICENSE.txt, index.js.LICENSE.txt",NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- advoor-nova-editor-js-3f5a5e7/dist/js/field.js.LICENSE.txt --- /*! * vuex v4.0.2
4236,log1x/acf-composer,v3.4.7,MIT,MPL_COPYLEFT,LICENSE.md,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: stoutlogic/acf-builder (GPL-2.0+),--- Log1x-acf-composer-0bb270e/LICENSE.md --- MIT License Copyright (c) Brandon Nifong
4316,php-collective/code-sniffer,0.6.8,MIT,MPL_COPYLEFT,".license, LICENSE",NO,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: phpcsstandards/phpcsextra (LGPL-3.0-or-later), phpcsstandards/phpcsutils (LGPL-3.0-or-later)",--- php-collective-code-sniffer-709dc26/.license --- /** * MIT License
4328,doctrineencryptbundle/doctrine-encrypt-bundle,7.0.3,MIT,MPL_COPYLEFT,LICENSE,NO,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: paragonie/halite (MPL-2.0), paragonie/hidden-string (MPL-2.0)","--- DoctrineEncryptBundle-DoctrineEncryptBundle-dcb998b/LICENSE --- Permission is hereby granted, free of charge, to any person obtaining a copy of this software and associated documentation files (th"
4371,statamic/seo-pro,v7.13.3,Unspecified,NO_PHYSICAL_LICENSE_FILE,None,NO,,1,POTENTIAL_VIOLATION_NO_LICENSE,"Package lacks any physical LICENSE file in release archive, relying purely on composer.json string.",
4408,atgp/factur-x,v3.5.0,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: smalot/pdfparser (LGPL-3.0),"--- atgp-factur-x-b448a57/LICENSE --- Copyright (c) 2018 @GP Permission is hereby granted, free of charge, to any person obtaining a copy"
4469,contao-components/simplemodal,3.1.2,MIT,NO_PHYSICAL_LICENSE_FILE,None,NO,,1,POTENTIAL_VIOLATION_NO_LICENSE,"Package lacks any physical LICENSE file in release archive, relying purely on composer.json string.",
4475,oneduo/nova-file-manager,v1.0.0,MIT,MPL_COPYLEFT,LICENSE.md,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: james-heinrich/getid3 (GPL-1.0-or-later, LGPL-3.0-only)",--- oneduo-nova-file-manager-4b24683/LICENSE.md --- # The MIT License (MIT) Copyright (c) Oneduo
4480,contao-components/ace,1.44.0,BSD-3-Clause,NO_PHYSICAL_LICENSE_FILE,None,NO,,1,POTENTIAL_VIOLATION_NO_LICENSE,"Package lacks any physical LICENSE file in release archive, relying purely on composer.json string.",
